16436,-496,2456,-46,318,138,0
16452,-492,2572,-74,280,113,0
16460,-424,2552,-47,322,111,0
16432,-460,2508,-73,293,92,0
16496,-472,2568,-77,293,101,0
16408,-460,2572,-69,328,99,0
16420,-424,2440,-61,316,106,0
16420,-472,2520,-70,291,126,0
16368,-500,2468,-60,297,116,0
16384,-528,2560,-77,293,101,0
16424,-520,2524,-72,334,85,0
16436,-472,2628,-38,300,96,0
16360,-428,2472,-55,314,118,0
16416,-532,2560,-64,312,85,0
16388,-520,2472,-59,319,98,0
16412,-424,2544,-34,303,96,0
16432,-492,2412,-37,271,143,0
16416,-452,2460,-66,278,106,0
16484,-404,2468,-26,301,121,0
16440,-360,2500,-24,314,120,0
16396,-504,2524,-75,312,143,0
16436,-416,2524,-71,322,137,0
16412,-496,2392,-53,315,96,0
16420,-440,2592,-46,273,104,0
16440,-408,2428,-49,284,100,0
16420,-468,2552,-44,305,93,0
16420,-476,2524,-77,287,109,0
16400,-444,2532,-37,297,121,0
16416,-488,2528,-55,309,107,0
16388,-460,2476,-69,309,113,0
16404,-488,2512,-49,310,98,0
16400,-480,2448,-61,304,107,0
16372,-496,2400,-46,323,91,0
16224,-448,2432,-62,338,118,0
21476,4440,3460,198,-739,-274,0
16084,-1580,2944,4,-522,14,0
16700,116,3116,-5,101,330,0
16260,-500,2044,-7,230,75,0
16044,-536,2428,29,531,-5,0
16132,-728,2488,-40,374,26,0
16452,-400,2380,-16,349,302,0
16572,-264,2648,-34,275,135,0
16232,-520,2652,-54,157,126,0
16448,-340,2676,-67,154,181,0
16652,720,1656,740,200,79,0
16636,3176,-1716,7462,1062,900,0
12908,-8004,14160,4502,754,1013,0
18816,1296,-352,4390,412,1277,0
18036,712,4568,3846,-477,2937,0
19948,1076,872,4533,-1581,7523,0
21176,4740,-80,4148,1679,12692,0
21692,384,-192,850,5203,15086,0
19968,-1504,1076,2965,12753,9474,0
18692,-356,4564,920,14016,-3336,0
20192,1508,3764,-2107,13561,-12610,0
20540,4692,4964,-3828,13592,-15399,0
22008,6164,4632,-4132,12967,-13442,0
21792,6264,4016,-4042,13960,-7630,0
18896,7548,6832,-4953,11229,25,0
17544,7708,6412,-5505,8878,7667,0
15168,6328,6624,-5994,9815,10855,0
11904,3908,7328,-7400,11378,8598,0
11488,1556,9812,-10155,9569,4685,0
11636,-3732,5844,-13445,8237,856,0
12964,-5000,6504,-11448,7450,-1713,0
12956,-5932,4692,-7375,8885,-1508,0
10800,-4876,6904,-3181,10763,-3848,0
9512,-4460,7768,-2771,9987,-7753,0
8664,-5908,7928,-5920,9190,-12478,0
9460,-5060,8112,-7436,7874,-13985,0
9908,-2068,7100,-4409,8001,-10352,0
7936,928,8564,-970,8039,-6618,0
8964,2396,10080,-2895,5025,-3084,0
10264,764,9296,-6648,4416,3602,0
9752,-556,7424,-6301,4938,12380,0
9816,-536,9640,-4896,3053,20477,0
10232,-1872,9088,-5304,2525,27441,0
7160,-5040,6920,-5377,5051,31364,0
5764,-6600,11488,-5481,3280,31647,0
5880,-9016,10572,-5724,-1269,31446,0
6068,-10404,7868,-2879,-117,28153,0
6304,-11796,10224,-3615,1583,23153,0
4576,-15808,10828,-5734,1530,17915,0
4528,-17276,9944,-3124,1551,12960,0
5872,-16532,8964,-36,3103,8151,0
3808,-17128,11092,264,4756,3733,0
2580,-17516,10964,2501,1442,598,0
6596,-14624,10624,5851,-1376,-513,0
10320,-12696,10160,5331,1980,1947,0
6540,-13336,12208,4259,6091,3423,0
5196,-13012,11680,4929,4184,3583,0
7912,-9176,11328,5927,4650,4758,0
7460,-6888,11232,5592,6897,5815,0
5508,-6788,13088,3334,5799,4671,0
3800,-7648,13768,902,4560,1786,0
3020,-9076,14244,-1366,2705,-1405,0
2292,-11332,13728,-3676,3112,-4816,0
2544,-12492,13380,-3749,2584,-5651,0
2552,-12620,13844,-1849,535,-3289,0
3980,-15392,14064,-265,-3162,586,0
5200,-18148,11060,8593,-4323,7551,0
5840,-11912,10208,13300,-2467,10395,0
5404,-7836,11088,12376,1143,9116,0
3104,-8344,13200,9253,6163,6781,0
-2144,-12764,14528,8788,8395,-1740,0
252,-10292,12680,9404,6802,-12652,0
2920,-7380,12652,10210,7861,-14266,0
588,-2160,20588,12359,6711,-13443,0
2688,2408,22896,5498,-859,-12884,0
10136,2512,17556,-3753,-741,-3695,0
7976,-3064,15940,-8940,5027,2093,0
3768,-7416,13520,-11106,7579,4755,0
-152,-11940,13180,-6957,5079,2912,0
596,-13040,14348,-1212,-1277,-1514,0
4360,-10564,11960,2943,-2844,-5015,0
5132,-8280,12896,3368,850,-5637,0
3848,-7412,14168,3038,1501,-5558,0
3984,-7328,14732,4695,-76,-5013,0
3204,-6108,16260,6645,-2158,-4291,0
5684,-4136,16296,5959,-2871,-2988,0
5712,-3432,14784,4087,-597,-995,0
2896,-4440,15868,2478,-217,-1325,0
4368,-5556,15284,2433,-1628,-2390,0
5312,-5516,14036,2856,-669,-2144,0
4844,-4944,15180,1686,-575,-1671,0
4196,-5156,15260,292,-1862,-1370,0
6156,-4852,15712,-332,-2000,-15,0
6848,-4100,16820,-1926,-1372,2044,0
5900,-5128,15772,-3101,-818,3419,0
5148,-5880,15504,-3030,-313,3364,0
5312,-6088,15504,-2433,-96,2807,0
2776,-8572,13524,1127,50,-909,0
-1652,-7036,17776,1106,-5005,-6096,0
7000,-3580,13388,540,-6323,-5439,0
6988,-5108,14648,-632,-5666,-2905,0
9000,-4504,14640,-1050,-3351,266,0
8436,-4912,14940,-1773,-100,4180,0
6100,-6112,15280,-2386,813,4180,0
6732,-5924,15724,-2587,279,3572,0
6084,-6600,15708,-2510,-595,3743,0
6688,-6944,15076,-2241,-1119,3224,0
7716,-6620,14756,-2087,312,2666,0
6544,-6448,15132,-1996,1766,2183,0
6084,-6672,14472,-2351,2257,1311,0
5968,-6900,14372,-2812,1934,1226,0
5780,-7268,14212,-2752,1260,2102,0
5532,-7740,14044,-2318,1140,2115,0
3092,-8244,16076,-1143,808,1257,0
5464,-7428,14356,-1344,137,514,0
4580,-8140,13596,-1670,-821,301,0
5632,-8476,12760,-768,-1732,505,0
6748,-7532,13208,29,-905,1700,0
6640,-6748,14472,-671,328,2978,0
7436,-3452,20732,189,7595,7670,0
4196,-5380,14844,-3911,8103,5764,0
3696,-7700,16184,-4008,8509,1622,0
2764,-7764,15180,-4935,5758,-1063,0
3728,-8592,13360,-3617,3880,-1262,0
4780,-8836,12116,-1897,3262,218,0
5132,-8532,11632,-1188,4380,1567,0
3884,-8604,11136,-339,5641,2897,0
2428,-9000,11288,-37,4793,2778,0
1668,-9168,11116,405,3407,1417,0
1316,-8796,11876,779,2029,423,0
1656,-8696,12280,751,771,154,0
2196,-8816,12536,805,55,282,0
2692,-8820,13012,967,-330,1011,0
2984,-8768,13280,1108,-373,1244,0
3228,-8812,14048,1140,-599,1574,0
3648,-8632,14636,935,-928,1673,0
4156,-8500,15312,529,-709,1413,0
4492,-8292,15460,341,42,1354,0
4200,-8084,15904,186,1010,1063,0
4220,-7620,16572,-111,1780,999,0
3892,-7156,16048,-348,2245,1283,0
3364,-7340,15828,-54,2775,1623,0
2496,-7052,15696,524,2829,802,0
2072,-6772,15616,366,3013,316,0
1428,-6956,15192,83,2959,-80,0
1264,-7504,14852,43,2767,-449,0
1384,-7800,14572,166,2612,-603,0
1404,-8156,14540,-252,2348,-970,0
1616,-8748,13800,-556,2049,-1245,0
1744,-8948,13444,-302,1853,-1404,0
1944,-8540,13888,-499,1561,-777,0
1380,-9020,13472,-908,1076,109,0
1052,-9680,13132,-920,905,-633,0
1300,-9416,13040,-351,899,-763,0
1184,-9312,13272,123,713,107,0
1116,-9288,13788,339,426,463,0
1348,-8992,14220,220,424,326,0
1432,-8836,14344,82,602,352,0
1324,-8940,14428,-13,658,301,0
1332,-8676,14420,134,571,-11,0
1612,-8580,14588,58,399,-27,0
1932,-8508,14748,35,172,-29,0
2084,-8540,14584,127,83,36,0
2080,-8596,14556,521,27,-125,0
2464,-8168,14868,786,234,-118,0
2244,-7984,15056,734,423,-45,0
1892,-8028,15112,666,283,-67,0
2048,-7920,15192,695,482,-76,0
1940,-7868,15364,573,692,-161,0
1820,-7884,15184,456,756,-273,0
1892,-7804,15268,318,959,-697,0
2260,-7648,15224,-232,1117,-607,0
1716,-8268,14908,-397,1207,-107,0
1632,-8216,14708,-363,1029,-604,0
1704,-8292,14424,-87,1111,-434,0
1524,-8316,14620,183,1132,-433,0
1660,-8132,15016,141,1035,-441,0
1744,-8160,15064,-4,940,-420,0
1976,-8408,15040,-239,719,-332,0
1924,-8528,14648,-155,640,-104,0
1852,-8736,14588,70,574,-15,0
1960,-8668,14572,354,526,163,0
2160,-8432,14564,293,518,485,0
1892,-8400,14472,549,659,743,0
1844,-8152,14452,646,820,928,0
1632,-7996,14584,581,815,1083,0
1244,-7912,14492,517,768,1108,0
976,-7960,14356,654,734,787,0
1108,-7844,14776,898,803,359,0
1088,-7452,14932,547,829,207,0
1072,-7544,14844,93,574,537,0
1004,-7892,14548,77,493,454,0
1152,-7944,14668,300,440,161,0
1160,-7860,14872,492,503,246,0
1308,-7796,14932,460,346,317,0
1392,-7704,15188,397,351,464,0
1416,-7556,15244,199,371,481,0
1208,-7576,15268,195,562,330,0
1264,-7400,15336,19,700,191,0
1056,-7384,15396,-211,767,130,0
1104,-7496,15292,-524,835,59,0
1084,-7756,15060,-710,975,64,0
1196,-7928,14864,-760,998,-31,0
1252,-8004,14724,-641,1144,110,0
1096,-8004,14628,-525,1187,185,0
1084,-7980,14652,-508,1072,304,0
1064,-7928,14584,-441,1077,260,0
888,-7936,14520,-402,1079,193,0
860,-7964,14640,-393,760,107,0
924,-7892,14640,-332,803,133,0
836,-7928,14780,-208,747,48,0
688,-8012,14712,-130,673,-33,0
844,-8040,14820,-57,441,-77,0
1052,-7860,14920,12,415,26,0
908,-7904,14912,-56,415,192,0
888,-7916,14936,-111,371,173,0
924,-7904,14976,-215,357,48,0
868,-8028,14836,-166,502,3,0
696,-7824,14944,-40,367,-1,0
868,-7832,15232,-398,94,-14,0
1044,-8192,14920,-607,131,-110,0
1208,-8272,14788,-341,354,66,0
1092,-8092,15024,-156,457,423,0
812,-7984,15164,-127,451,344,0
996,-7728,15652,-568,598,89,0
808,-7732,15552,-1425,798,-187,0
576,-8628,14912,-978,351,-230,0
1152,-8480,15704,-534,-275,54,0
1696,-8164,15776,-745,-240,741,0
3376,-7360,16384,-1873,2600,2764,0
528,-9220,15836,-2290,883,3334,0
1052,-9660,15236,-2227,991,2660,0
1072,-9428,15032,-1631,1069,2448,0
1024,-8948,15564,-1399,1408,2245,0
1136,-8532,15896,-2971,938,2556,0
1484,-8784,14788,-4861,1078,3438,0
804,-9176,13880,-5599,1167,4162,0
636,-9868,13652,-5442,991,4206,0
1756,-9700,13204,-5511,1059,5179,0
1236,-9664,12864,-5191,2843,6898,0
-444,-9792,12792,-4128,4089,6830,0
-452,-8732,13280,-3652,6026,4916,0
-2340,-8904,12656,-3901,7303,2674,0
-1620,-7780,14380,-5164,5438,1457,0
-1880,-8264,14648,-8205,5602,633,0
-2884,-10168,12840,-9733,4865,-1199,0
-2032,-11000,12196,-9490,4027,-3523,0
-2276,-10932,12804,-9698,3223,-5428,0
-1864,-10708,10892,-9759,3511,-6968,0
-2260,-11656,7584,-8327,6188,-8990,0
-2872,-13960,5056,-3075,9671,-9932,0
-4376,-12536,7676,227,7087,-8216,0
-3756,-11360,8520,1053,4202,-7554,0
-2384,-9812,9232,658,4298,-7701,0
-3576,-11916,9200,606,5079,-8178,0
-5588,-13168,9304,521,3481,-12633,0
-4272,-12024,10044,-553,1317,-15426,0
-2172,-11052,10508,-66,-238,-12893,0
-16,-9560,13056,-641,335,-7974,0
1500,-11528,12636,-860,780,-3860,0
2524,-13580,12248,1129,3952,-3219,0
1220,-14688,12736,1674,6160,-5735,0
-860,-12356,13916,1114,2637,-8380,0
808,-12960,11904,-697,-1064,-10772,0
3308,-14168,9368,-564,-1212,-11455,0
3996,-13980,9272,1259,-1408,-8467,0
3588,-13464,10192,2925,-2816,-4952,0
4172,-14956,7204,4899,-1542,-3764,0
4020,-14976,7468,6768,1638,-4606,0
2012,-14016,8544,8572,1396,-4369,0
2132,-11872,9856,9518,1190,-4761,0
4552,-10988,9384,9811,854,-2699,0
4128,-12236,9836,14329,-567,4504,0
3332,-9332,14564,16795,-6561,8123,0
6716,-4496,17676,11671,-6548,11572,0
6184,-7332,16256,6413,-4469,14869,0
4448,-9712,14380,6532,-4531,17041,0
980,-10668,17244,7782,-10452,14973,0
5564,-7252,16820,5104,-11885,13353,0
6932,-8596,14360,4055,-6787,13937,0
5800,-11788,13960,5120,-3144,11522,0
5060,-11108,15196,8222,-1003,9141,0
844,-9312,18600,4715,-6422,7480,0
164,-10308,15008,164,-16905,4340,0
6056,-10100,16768,-1819,-20830,2676,0
6940,-11640,10672,-2299,-19323,1665,0
6712,-10412,12244,1737,-15761,-735,0
7708,-6816,13572,1972,-13498,708,0
8224,-2404,17096,-2960,-11881,8060,0
8172,-2560,13032,-7538,-7456,15872,0
6496,-4856,11904,-6271,-590,22091,0
5588,-5980,13512,-5234,4662,27183,0
2808,-8412,9652,-1528,6766,31566,0
-1412,-11648,10748,2782,3646,30575,0
-3360,-11960,11084,6125,-787,28725,0
-3440,-11992,12828,9818,-6054,26702,0
-2168,-12432,11284,13162,-11240,24466,0
1612,-10980,12664,14623,-13077,24313,0
3816,-8712,13832,15264,-11330,27186,0
4892,-7048,13996,16606,-8508,30871,0
4000,-5832,15480,17788,-4458,32767,0
-528,-4324,16928,18013,-2466,32767,0
-2864,-2788,19244,16691,-3717,32767,0
-2484,-332,19640,14882,-4869,32767,0
-1636,1440,18396,11418,-5458,32767,0
-2276,424,16788,10372,-7229,32767,0
-2576,-52,17448,8084,-7837,32767,0
-2768,984,17700,5486,-8195,32767,0
2632,2276,16976,1974,-4520,32767,0
812,48,14876,-1611,4748,32767,0
-10616,-5976,17640,-1101,7333,29143,0
-4228,-6552,16140,5407,1045,19134,0
-556,2056,23212,452,-1137,10137,0
1568,-2004,18432,-2865,-83,4881,0
-3604,-4212,16956,-2442,1451,-1472,0
-3392,-2884,16012,65,1468,-6508,0
-892,-872,15236,2525,4003,-5870,0
-2544,-128,14656,4686,5679,-1637,0
-5552,1424,15144,5774,3033,3696,0
-6472,2720,15448,6261,-1917,7730,0
-5972,2828,15656,5799,-7359,10152,0
-5296,2896,15236,5329,-10991,12218,0
-3416,3032,14120,4896,-12012,14789,0
-1332,3244,14948,4056,-9676,17903,0
-504,2044,17668,312,-5127,14080,0
-912,-1596,17028,1305,-3595,9149,0
1464,-908,17512,5359,-4813,8676,0
1424,-744,17764,8391,-6509,9966,0
1752,-1880,16592,10673,-10116,10812,0
5512,1672,16484,7374,-11497,14665,0
3852,-1716,16492,6610,-9670,13086,0
6100,364,13964,2751,-4592,2934,0
4300,-3632,13736,1210,3790,-9976,0
2032,44,16040,-1016,10641,-24876,0
-5824,5568,19912,-6271,4230,-32768,0
860,9272,17664,-13444,-1369,-32768,0
1904,4892,13572,-12556,-1398,-32768,0
3768,3964,9712,-7638,-111,-32768,0
4460,5972,12244,-4675,5532,-23243,0
1136,5512,15528,-3469,7454,-9022,0
-556,400,15980,165,6993,-4621,0
-928,2228,14692,4240,5248,-713,0
5416,7540,20088,1883,7482,9601,0
-2996,3948,14744,6387,4538,22071,0
-7020,1892,16972,7784,3758,20553,0
-5480,4328,17464,8486,-822,13762,0
-3588,7952,16740,4611,-568,15945,0
-3384,4412,14952,2612,-497,12559,0
-3904,6612,16916,155,621,7530,0
-5136,6116,18272,-3721,295,2690,0
-2632,6288,17852,-5926,789,-977,0
856,3876,16144,-6199,4383,-109,0
6036,5988,10736,-7130,14001,7310,0
2116,2408,14148,-4158,17050,15869,0
-9440,1372,16988,-936,17485,15601,0
-14896,4076,21536,-1038,5457,11029,0
-8040,4308,18792,-515,-6671,9980,0
-3400,3752,15836,2565,-10853,15897,0
-1708,5268,17780,5186,-11820,21258,0
-1868,4048,14792,4011,-10377,21537,0
852,2912,14488,4149,-8473,18681,0
1800,3380,16404,3621,-6455,15525,0
